dispersal_allowed,plate_id,pairwise_id,week,beta_diversity
no,CL,a1,2,0.01986755
no,CL,a2,2,0.069444444
no,CL,a3,2,0.038961039
no,CL,a4,2,0.088435374
no,CL,a5,2,0.038961039
no,CL,a6,2,0.047619048
no,CL,a7,2,0.066666667
no,CL,a8,2,0.066666667
no,CL,a9,2,0.01910828
no,CL,a10,2,0.066666667
no,CL,a11,2,0.026666667
no,CL,a12,2,0.026666667
no,CL,a13,2,0.026666667
no,CL,a14,2,0.059602649
no,CL,a15,2,0.038961039
no,CL,a16,2,0.038961039
no,CL,a17,2,0.066666667
no,CL,a18,2,0.066666667
no,CL,a19,2,0.01910828
no,CL,a20,2,0.026666667
no,CL,a21,2,0.04964539
no,CL,a22,2,0.059602649
no,CL,a23,2,0.069444444
no,CL,a24,2,0.059602649
no,CL,a25,2,0.027777778
no,CL,a26,2,0.047619048
no,CL,a27,2,0.047619048
no,CL,a28,2,0.038961039
no,CL,a29,2,0.047619048
no,CL,a30,2,0.047619048
no,CL,a31,2,0.047619048
no,CL,a32,2,0.047619048
no,CL,a33,2,0.040540541
no,CL,a34,2,0.01986755
no,CL,a35,2,0.059602649
no,CL,a36,2,0.047619048
no,CL,a37,2,0.047619048
no,CL,a38,2,0.038961039
no,CL,a39,2,0.047619048
no,CL,a40,2,0.069444444
no,CL,a41,2,0.080291971
no,CL,a42,2,0.069444444
no,CL,a43,2,0.080291971
no,CL,a44,2,0.1
no,CL,a45,2,0.1
no,CL,a46,2,0.088435374
no,CL,a47,2,0.1
no,CL,a48,2,0.1
no,CL,a49,2,0.1
no,CL,a50,2,0.1
no,CL,a51,2,0.04964539
no,CL,a52,2,0.069444444
no,CL,a53,2,0.069444444
no,CL,a54,2,0.1
no,CL,a55,2,0.1
no,CL,a56,2,0.088435374
no,CL,a57,2,0.1
no,CL,a58,2,0.047619048
no,CL,a59,2,0
no,CL,a60,2,0.088435374
no,CL,a61,2,0.066666667
no,CL,a62,2,0.066666667
no,CL,a63,2,0.01910828
no,CL,a64,2,0.066666667
no,CL,a65,2,0.066666667
no,CL,a66,2,0.066666667
no,CL,a67,2,0.066666667
no,CL,a68,2,0.01986755
no,CL,a69,2,0.038961039
no,CL,a70,2,0
no,CL,a71,2,0.066666667
no,CL,a72,2,0.066666667
no,CL,a73,2,0.01910828
no,CL,a74,2,0.066666667
no,CL,a75,2,0.047619048
no,CL,a76,2,0.1
no,CL,a77,2,0.020979021
no,CL,a78,2,0.020979021
no,CL,a79,2,0.066666667
no,CL,a80,2,0.020979021
no,CL,a81,2,0.118881119
no,CL,a82,2,0.118881119
