plate_id,strain,strain_id,mutualist_type,community_type,community_type_id,strong,Grand Total,p_strong
1,1057,AdeOP1,AdeOP,mutualists_only,a,1,14,0.071428571
2,1057,AdeOP1,AdeOP,mutualists_only,a,0,5,0
1,1063,AdeOP2,AdeOP,mutualists_only,a,1,16,0.0625
2,1063,AdeOP2,AdeOP,mutualists_only,a,2,28,0.071428571
1,1069,AdeOP3,AdeOP,mutualists_only,a,1,8,0.125
2,1069,AdeOP3,AdeOP,mutualists_only,a,2,10,0.2
1,1081,AdeOP4,AdeOP,mutualists_only,a,0,10,0
2,1081,AdeOP4,AdeOP,mutualists_only,a,0,18,0
1,1039,LysOP1,LysOP,mutualists_only,a,1,20,0.05
2,1039,LysOP1,LysOP,mutualists_only,a,0,12,0
1,1084,LysOP2,LysOP,mutualists_only,a,1,6,0.166666667
2,1084,LysOP2,LysOP,mutualists_only,a,0,1,0
1,1086,LysOP3,LysOP,mutualists_only,a,0,4,0
2,1086,LysOP3,LysOP,mutualists_only,a,0,10,0
1,1088,LysOP4,LysOP,mutualists_only,a,2,10,0.2
2,1088,LysOP4,LysOP,mutualists_only,a,0,5,0
1,1057,AdeOP1,AdeOP,exploited,b,8,30,0.266666667
2,1057,AdeOP1,AdeOP,exploited,b,12,34,0.352941176
1,1063,AdeOP2,AdeOP,exploited,b,25,57,0.438596491
2,1063,AdeOP2,AdeOP,exploited,b,11,20,0.55
1,1069,AdeOP3,AdeOP,exploited,b,27,45,0.6
2,1069,AdeOP3,AdeOP,exploited,b,10,18,0.555555556
1,1081,AdeOP4,AdeOP,exploited,b,27,49,0.551020408
2,1081,AdeOP4,AdeOP,exploited,b,33,40,0.825
1,1039,LysOP1,LysOP,exploited,b,15,36,0.416666667
2,1039,LysOP1,LysOP,exploited,b,8,12,0.666666667
1,1084,LysOP2,LysOP,exploited,b,10,18,0.555555556
2,1084,LysOP2,LysOP,exploited,b,9,12,0.75
1,1086,LysOP3,LysOP,exploited,b,10,18,0.555555556
2,1086,LysOP3,LysOP,exploited,b,14,21,0.666666667
1,1088,LysOP4,LysOP,exploited,b,13,28,0.464285714
2,1088,LysOP4,LysOP,exploited,b,18,38,0.473684211
